tag,company,last_update,last_values
APPN,Appian Corporation Class A Common Stock,2000-01-01,0
APPS,Digital Turbine Inc. Common Stock,2000-01-01,0
APR,Apria Inc. Common Stock,2000-01-01,0
APRE,Aprea Therapeutics Inc. Common stock,2000-01-01,0
APTO,Aptose Biosciences Inc. Common Shares,2000-01-01,0
APTX,Aptinyx Inc. Common Stock,2000-01-01,0
APVO,Aptevo Therapeutics Inc. Common Stock,2000-01-01,0
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),2000-01-01,0
APXT,Apex Technology Acquisition Corporation Class A Common Stock,2000-01-01,0
APXTU,Apex Technology Acquisition Corporation Unit,2000-01-01,0
APXTW,Apex Technology Acquisition Corporation Warrant,2000-01-01,0
APYX,Apyx Medical Corporation Common Stock,2000-01-01,0
AQB,AquaBounty Technologies Inc. Common Stock,2000-01-01,0
AQMS,Aqua Metals Inc. Common Stock,2000-01-01,0
AQST,Aquestive Therapeutics Inc. Common Stock,2000-01-01,0
ARAV,Aravive Inc. Common Stock,2000-01-01,0
ARAY,Accuray Incorporated Common Stock,2000-01-01,0
ARBG,Aequi Acquisition Corp. Class A Common Stock,2000-01-01,0
ARBGU,Aequi Acquisition Corp. Unit,2000-01-01,0
ARBGW,Aequi Acquisition Corp. warrants,2000-01-01,0
ARCB,ArcBest Corporation Common Stock,2000-01-01,0
ARCC,Ares Capital Corporation Common Stock,2000-01-01,0
ARCE,Arco Platform Limited Class A Common Shares,2000-01-01,0
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,2000-01-01,0
ARDS,Aridis Pharmaceuticals Inc. Common Stock,2000-01-01,0
ARDX,Ardelyx Inc. Common Stock,2000-01-01,0
AREC,American Resources Corporation Class A Common Stock,2000-01-01,0
ARGX,argenx SE American Depositary Shares,2000-01-01,0
ARKO,ARKO Corp. Common Stock,2000-01-01,0
ARKR,Ark Restaurants Corp. Common Stock,2000-01-01,0
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,2000-01-01,0
ARNA,Arena Pharmaceuticals Inc. Common Stock,2000-01-01,0
AROW,Arrow Financial Corporation Common Stock,2000-01-01,0
ARPO,Aerpio Pharmaceuticals Inc. Common Stock,2000-01-01,0
ARQT,Arcutis Biotherapeutics Inc. Common Stock,2000-01-01,0
ARRW,Arrowroot Acquisition Corp. Class A common stock,2000-01-01,0
ARRWU,Arrowroot Acquisition Corp. Unit,2000-01-01,0
ARRWW,Arrowroot Acquisition Corp. Warrant,2000-01-01,0
ARRY,Array Technologies Inc. Common Stock,2000-01-01,0
ARTAU,Artisan Acquisition Corp. Units,2000-01-01,0
ARTL,Artelo Biosciences Inc. Common Stock,2000-01-01,0
ARTLW,Artelo Biosciences Inc. Warrant,2000-01-01,0
ARTNA,Artesian Resources Corporation Class A Common Stock,2000-01-01,0
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,2000-01-01,0
ARVL,Arrival Ordinary Shares,2000-01-01,0
ARVLW,Arrival Warrant,2000-01-01,0
ARVN,Arvinas Inc. Common Stock,2000-01-01,0
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,2000-01-01,0
